Table Size,1,2,3,4
190,5971,5886,5444,5918
200,4386,5234,4609,4848
210,4228,4078,4057,4063
220,2580,3322,2779,3675
230,2397,2700,2982,3290
240,3128,2024,2015,2157
250,1799,1976,2120,2138
260,1747,2470,1710,1394
270,2135,1487,1346,1380
280,1387,1718,1612,1616
290,1110,1941,1251,917
300,773,1167,1064,1525
310,760,1051,1343,1051
320,688,667,703,606
330,871,490,610,631
340,1123,555,413,639
350,557,548,803,727
360,502,800,681,386
370,476,366,543,505
380,427,324,553,252
390,303,465,426,362
400,276,175,396,273
410,533,335,299,600
420,249,355,415,350
430,238,447,306,323
440,164,226,315,400
450,317,137,138,317
460,291,196,251,152
470,183,181,637,144
480,313,130,211,150
490,77,168,99,159
500,174,192,88,95
510,82,148,278,51
520,162,100,177,364
530,110,205,128,160
540,105,86,73,195
550,141,54,79,150
560,90,75,59,58
570,130,196,147,91
580,37,76,66,65
590,95,41,82,39
600,47,44,152,214
